REGION,FUEL,TIMESLICE,YEAR,VALUE
REG1,EL01,155,2023,0.000316334
REG1,EL01,156,2023,0.000316334
REG1,EL01,157,2023,0.000316334
REG1,EL01,158,2023,0.000316334
REG1,EL01,159,2023,0.000316334
REG1,EL01,160,2023,0.000316334
REG1,EL01,161,2023,0.000316334
REG1,EL01,162,2023,0.000316334
REG1,EL01,163,2023,0.000316334
REG1,EL01,164,2023,0.000316334
REG1,EL01,165,2023,0.000316334
REG1,EL01,166,2023,0.000316334
REG1,EL01,167,2023,0.000316334
REG1,EL01,168,2023,0.000316334
REG1,EL01,169,2023,0.000316334
REG1,EL01,170,2023,0.000316334
REG1,EL01,171,2023,0.000316334
REG1,EL01,172,2023,0.000316334
REG1,EL01,173,2023,0.000316334
REG1,EL01,174,2023,0.000316334
REG1,EL01,175,2023,0.000316334
REG1,EL01,176,2023,0.000316334
REG1,EL01,177,2023,0.000316334
REG1,EL01,178,2023,0.000316334
REG1,EL01,179,2023,0.002033577
REG1,EL01,180,2023,0.002033577
REG1,EL01,181,2023,0.002033577
REG1,EL01,182,2023,0.001423504
REG1,EL01,183,2023,0.001423504
REG1,EL01,184,2023,0.001423504
REG1,EL01,185,2023,0.001423504
REG1,EL01,186,2023,0.001423504
REG1,EL01,187,2023,0.001423504
REG1,EL01,188,2023,0.001423504
REG1,EL01,189,2023,0.001423504
REG1,EL01,190,2023,0.001423504
REG1,EL01,191,2023,0.001423504
REG1,EL01,192,2023,0.002033577
REG1,EL01,193,2023,0.002033577
REG1,EL01,194,2023,0.002033577
REG1,EL01,195,2023,0.001294095
REG1,EL01,196,2023,0.001294095
REG1,EL01,197,2023,0.001294095
REG1,EL01,198,2023,0.001294095
REG1,EL01,199,2023,0.001294095
REG1,EL01,200,2023,0.001294095
REG1,EL01,201,2023,0.001294095
REG1,EL01,202,2023,0.001294095
REG1,EL01,203,2023,0.001294095
REG1,EL01,204,2023,0.001294095
REG1,EL01,205,2023,0.001294095
REG1,EL01,206,2023,0.002033577
REG1,EL01,207,2023,0.002033577
REG1,EL01,208,2023,0.002033577
REG1,EL01,209,2023,0.001294095
REG1,EL01,210,2023,0.001294095
REG1,EL01,211,2023,0.001294095
REG1,EL01,212,2023,0.001294095
REG1,EL01,213,2023,0.001294095
REG1,EL01,214,2023,0.001294095
REG1,EL01,215,2023,0.001294095
REG1,EL01,216,2023,0.001294095
REG1,EL01,217,2023,0.001294095
REG1,EL01,218,2023,0.001294095
REG1,EL01,219,2023,0.001294095
REG1,EL01,220,2023,0.002033577
REG1,EL01,221,2023,0.002033577
REG1,EL01,222,2023,0.002033577
REG1,EL01,223,2023,0.001095003
REG1,EL01,224,2023,0.001095003
REG1,EL01,225,2023,0.001095003
REG1,EL01,226,2023,0.001095003
REG1,EL01,227,2023,0.001095003
REG1,EL01,228,2023,0.001095003
REG1,EL01,229,2023,0.001095003
REG1,EL01,230,2023,0.001095003
REG1,EL01,231,2023,0.001095003
REG1,EL01,232,2023,0.001095003
REG1,EL01,233,2023,0.001095003
REG1,EL01,234,2023,0.001095003
REG1,EL01,235,2023,0.001095003
REG1,EL01,236,2023,0.002033577
REG1,EL01,237,2023,0.002033577
REG1,EL01,238,2023,0.002033577
REG1,EL01,239,2023,0.001016789
REG1,EL01,240,2023,0.001016789
REG1,EL01,241,2023,0.001016789
REG1,EL01,242,2023,0.001016789
REG1,EL01,243,2023,0.001016789
REG1,EL01,244,2023,0.001016789
REG1,EL01,245,2023,0.001016789
