REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REG1,GRID,906,2023,1
REG1,GRID,907,2023,1
REG1,GRID,908,2023,1
REG1,GRID,909,2023,1
REG1,GRID,910,2023,1
REG1,GRID,911,2023,1
REG1,GRID,912,2023,1
REG1,GRID,913,2023,1
REG1,GRID,914,2023,1
REG1,GRID,915,2023,1
REG1,GRID,916,2023,1
REG1,GRID,917,2023,1
REG1,GRID,918,2023,1
REG1,GRID,919,2023,1
REG1,GRID,920,2023,1
REG1,GRID,921,2023,1
REG1,GRID,922,2023,1
REG1,GRID,923,2023,1
REG1,GRID,924,2023,1
REG1,GRID,925,2023,1
REG1,GRID,926,2023,1
