Use By Technology (Energy Units)

,REG1
Technology,Fuel,Timeslice,2023
GRID,EL01,461,0
GRID,EL01,462,0
GRID,EL01,463,0
GRID,EL01,464,0
GRID,EL01,465,0
GRID,EL01,466,0
GRID,EL01,467,0
GRID,EL01,468,0
GRID,EL01,469,0
GRID,EL01,470,0
GRID,EL01,471,0
GRID,EL01,472,0
GRID,EL01,473,0
GRID,EL01,474,0
GRID,EL01,475,0
GRID,EL01,476,0
GRID,EL01,477,0
GRID,EL01,478,0
GRID,EL01,479,0
GRID,EL01,480,0
GRID,EL01,481,0
GRID,EL01,482,0
GRID,EL01,483,0
GRID,EL01,484,0
GRID,EL01,485,0
GRID,EL01,486,0
GRID,EL01,487,0
GRID,EL01,488,0
GRID,EL01,489,0
GRID,EL01,490,0
GRID,EL01,491,0
GRID,EL01,492,0
GRID,EL01,493,0
GRID,EL01,494,0
GRID,EL01,495,0
GRID,EL01,496,0
GRID,EL01,497,0
GRID,EL01,498,0
GRID,EL01,499,0
GRID,EL01,500,0
GRID,EL01,501,0
GRID,EL01,502,0
GRID,EL01,503,0
GRID,EL01,504,0
GRID,EL01,505,0
GRID,EL01,506,0
GRID,EL01,507,0
GRID,EL01,508,0
GRID,EL01,509,0
GRID,EL01,510,0
GRID,EL01,511,0
GRID,EL01,512,0
GRID,EL01,513,0
GRID,EL01,514,0
GRID,EL01,515,0
GRID,EL01,516,0
GRID,EL01,517,0
GRID,EL01,518,0
GRID,EL01,519,0
GRID,EL01,520,0
GRID,EL01,521,0
GRID,EL01,522,0
GRID,EL01,523,0
GRID,EL01,524,0
GRID,EL01,525,0
GRID,EL01,526,0
GRID,EL01,527,0
GRID,EL01,528,0
GRID,EL01,529,0
GRID,EL01,530,0
GRID,EL01,531,0
GRID,EL01,532,0
GRID,EL01,533,0
GRID,EL01,534,0
GRID,EL01,535,0
GRID,EL01,536,0
GRID,EL01,537,0
GRID,EL01,538,0
GRID,EL01,539,0
GRID,EL01,540,0
GRID,EL01,541,0
GRID,EL01,542,0
GRID,EL01,543,0
GRID,EL01,544,0
GRID,EL01,545,0
GRID,EL01,546,0
GRID,EL01,547,0
GRID,EL01,548,0
GRID,EL01,549,0
GRID,EL01,550,0
GRID,EL01,551,0
GRID,EL01,552,0
GRID,EL01,553,0
GRID,EL01,554,0
GRID,EL01,555,0
GRID,EL01,556,0
GRID,EL01,557,0
GRID,EL01,558,0
GRID,EL01,559,0
GRID,EL01,560,0
GRID,EL01,561,0
GRID,EL01,562,0
GRID,EL01,563,0
GRID,EL01,564,0
GRID,EL01,565,0
GRID,EL01,566,0
GRID,EL01,567,0
GRID,EL01,568,0
GRID,EL01,569,0
GRID,EL01,570,0
GRID,EL01,571,0
GRID,EL01,572,0
GRID,EL01,573,0
GRID,EL01,574,0
GRID,EL01,575,0
GRID,EL01,576,0
GRID,EL01,577,0
GRID,EL01,578,0
GRID,EL01,579,0
GRID,EL01,580,0
GRID,EL01,581,0
GRID,EL01,582,0
GRID,EL01,583,0
GRID,EL01,584,0
GRID,EL01,585,0
GRID,EL01,586,0
GRID,EL01,587,0
GRID,EL01,588,0
GRID,EL01,589,0
GRID,EL01,590,0
GRID,EL01,591,0
GRID,EL01,592,0
GRID,EL01,593,0
GRID,EL01,594,0
GRID,EL01,595,0
GRID,EL01,596,0
GRID,EL01,597,0
GRID,EL01,598,0
GRID,EL01,599,0
GRID,EL01,600,0
GRID,EL01,601,0
GRID,EL01,602,0
GRID,EL01,603,0
GRID,EL01,604,0
GRID,EL01,605,0
GRID,EL01,606,0
GRID,EL01,607,0
GRID,EL01,608,0
GRID,EL01,609,0
GRID,EL01,610,0
GRID,EL01,611,0
GRID,EL01,612,0
GRID,EL01,613,0
GRID,EL01,614,0
GRID,EL01,615,0
GRID,EL01,616,0
GRID,EL01,617,0
GRID,EL01,618,0
GRID,EL01,619,0
GRID,EL01,620,0
GRID,EL01,621,0
GRID,EL01,622,0
GRID,EL01,623,0
GRID,EL01,624,0
GRID,EL01,625,0
GRID,EL01,626,0
GRID,EL01,627,0
GRID,EL01,628,0
GRID,EL01,629,0
GRID,EL01,630,0
GRID,EL01,631,0
GRID,EL01,632,0
GRID,EL01,633,0
GRID,EL01,634,0
GRID,EL01,635,0
GRID,EL01,636,0
GRID,EL01,637,0
GRID,EL01,638,0
GRID,EL01,639,0
GRID,EL01,640,0
GRID,EL01,641,0
GRID,EL01,642,0
GRID,EL01,643,0
GRID,EL01,644,0
GRID,EL01,645,0
GRID,EL01,646,0
GRID,EL01,647,0
GRID,EL01,648,0
GRID,EL01,649,0
GRID,EL01,650,0
GRID,EL01,651,0
GRID,EL01,652,0
GRID,EL01,653,0
GRID,EL01,654,0
