
Time Dependent Production (Energy Units) Test

,REG1
Fuel,Timeslice,2023
EL01,218,11.8622
EL01,219,11.8622
EL01,220,11.8622
EL01,221,11.8622
EL01,222,11.8622
EL01,223,11.8622
EL01,224,11.8622
EL01,225,11.8622
EL01,226,11.8622
EL01,227,11.8622
EL01,228,11.8622
EL01,229,11.8622
EL01,230,11.8622
EL01,231,11.8622
EL01,232,11.8622
EL01,233,11.8622
EL01,234,11.8622
EL01,235,11.8622
EL01,236,11.8622
EL01,237,11.8622
EL01,238,11.8622
EL01,239,11.8622
EL01,240,11.8622
EL01,241,11.8622
EL01,242,11.8622
EL01,243,11.8622
EL01,244,11.8622
EL01,245,11.8622
EL01,246,11.8622
EL01,247,11.8622
EL01,248,11.8622
EL01,249,11.8622
EL01,250,11.8622
EL01,251,11.8622
EL01,252,11.8622
EL01,253,11.8622
EL01,254,11.8622
EL01,255,11.8622
EL01,256,11.8622
EL01,257,11.8622
EL01,258,11.8622
EL01,259,11.8622
EL01,260,11.8622
EL01,261,11.8622
EL01,262,11.8622
EL01,263,11.8622
EL01,264,11.8622
EL01,265,11.8622
EL01,266,11.8622
EL01,267,11.8622
EL01,268,11.8622
EL01,269,11.8622
EL01,270,11.8622
EL01,271,11.8622
EL01,272,11.8622
EL01,273,11.8622
EL01,274,11.8622
EL01,275,11.8622
EL01,276,11.8622
EL01,277,11.8622
EL01,278,11.8622
EL01,279,11.8622
EL01,280,11.8622
EL01,281,11.8622
EL01,282,11.8622
EL01,283,11.8622
EL01,284,11.8622
EL01,285,11.8622
EL01,286,11.8622
EL01,287,11.8622
EL01,288,11.8622
EL01,289,11.8622
EL01,290,11.8622
EL01,291,11.8622
EL01,292,11.8622
EL01,293,11.8622
EL01,294,11.8622
EL01,295,11.8622
EL01,296,11.8622
EL01,297,11.8622
EL01,298,11.8622
EL01,299,11.8622
EL01,300,11.8622
EL01,301,11.8622
EL01,302,11.8622
EL01,303,11.8622
EL01,304,11.8622
EL01,305,11.8622
EL01,306,11.8622
EL01,307,11.8622
EL01,308,11.8622
EL01,309,11.8622
EL01,310,11.8622
EL01,311,11.8622
EL01,312,11.8622
EL01,313,11.8622
EL01,314,11.8622
EL01,315,11.8622
EL01,316,11.8622
EL01,317,11.8622
EL01,318,11.8622
EL01,319,11.8622
EL01,320,11.8622
EL01,321,11.8622
EL01,322,11.8622
EL01,323,11.8622
EL01,324,11.8622
EL01,325,11.8622
EL01,326,11.8622
EL01,327,11.8622
EL01,328,11.8622
EL01,329,11.8622
EL01,330,11.8622
EL01,331,11.8622
EL01,332,11.8622
EL01,333,11.8622
EL01,334,11.8622
EL01,335,11.8622
EL01,336,11.8622
EL01,337,11.8622
EL01,338,11.8622
EL01,339,11.8622
EL01,340,11.8622
EL01,341,11.8622
EL01,342,11.8622
EL01,343,11.8622
EL01,344,11.8622
EL01,345,11.8622
EL01,346,11.8622
EL01,347,11.8622
EL01,348,11.8622
EL01,349,11.8622
EL01,350,11.8622
EL01,351,11.8622
EL01,352,11.8622
EL01,353,11.8622
EL01,354,11.8622
EL01,355,11.8622
EL01,356,11.8622
EL01,357,11.8622
EL01,358,11.8622
EL01,359,11.8622
EL01,360,11.8622
EL01,361,11.8622
EL01,362,11.8622
EL01,363,11.8622
EL01,364,11.8622
EL01,365,11.8622
